dataset,current_group,oracle_gain_pct,x_to_acp_macro_r2,x_to_acp_std_rmse,prism_gain_vs_simple_pct,prism_gain_vs_two_stage_pct,simple_mse,prism_mse,oracle_mse,best_feasible_model,best_feasible_mse,case1_like_weak_acp_to_y,case2_like_high_oracle_low_recoverability,main_like_recoverable_acp_success,diagnostic_interpretation
airfoil_self_noise,Main,22.49853450018157,-1.0000029609793697,1.2987359231092472,50.65285503992396,42.19397152626794,9.44270214375705,2.2979022178507504,5.677735562220062,prism,2.2979022178507504,False,False,False,"Mixed: ACP may help, but recoverability is weak; PRISM success must be argued empirically."
concrete_slump_test,Main,-13.522703969088184,0.3468754147306878,0.8100198795515491,-0.17893839226876032,4.199980131898626,6.641283738458313,6.518362122412418,9.153523890673036,prism,6.518362122412418,True,False,False,"Case1-like: oracle gain is small, so ACP adds limited target-relevant information."
energy_efficiency,Main,5.435513482409016,-0.9965961569952536,1.362735034409106,26.76082662636267,39.3478021599934,1.8255317871771384,0.9835675270898896,1.6292672983028695,prism,0.9835675270898896,True,False,False,"Case1-like: oracle gain is small, so ACP adds limited target-relevant information."
household_power_consumption,Main,11.408630046870439,0.4825586175546367,0.646350291728898,7.644649419191945,9.248558020327081,0.0036158561912947,0.0030774925840822,0.0028316630274381,prism,0.0030774925840822,False,False,True,"Main-like: ACP is useful, recoverable enough, and PRISM improves over Simple MLP."
hydraulic_systems,Main,23.939301246492413,0.8808607587603925,0.2019352711354633,9.872575824292158,4.658164497230871,8.532498212225494,6.920078758895462,4.322384827231398,prism,6.920078758895462,False,False,True,"Main-like: ACP is useful, recoverable enough, and PRISM improves over Simple MLP."
auto_mpg,Case1,3.972545616593031,0.7192451220804623,0.5008647337954881,0.3744796691025889,-0.5317001157651731,10.573242624436444,10.563687400365165,9.802899204059646,random_forest,8.8242482399036,True,False,False,"Case1-like: oracle gain is small, so ACP adds limited target-relevant information."
combined_cycle_power_plant,Case1,6.471760578329137,-0.6925463209769538,1.2606568422888489,3.1393366684075934,2.8329709356743398,16.83625397774231,15.798439814269445,14.730287547584066,random_forest,12.815539512020024,True,False,False,"Case1-like: oracle gain is small, so ACP adds limited target-relevant information."
superconductivity,Case1,2.1374606386524024,0.9316447038999216,0.2537558271891918,-2.475158314504385,-2.0905735561525396,104.55192595740571,110.77790729707576,100.28235394453624,random_forest,94.33723990952464,True,False,False,"Case1-like: oracle gain is small, so ACP adds limited target-relevant information."
wine_quality,Case1,6.462011903270877,0.7136826157899154,0.51805380322215,1.0373988354422465,0.6043145267847442,0.5502969530573623,0.5388648641243889,0.4814276133624126,prism_z_acp_random_forest,0.440717209621824,True,False,False,"Case1-like: oracle gain is small, so ACP adds limited target-relevant information."
air_quality,Case2,59.11567200066641,0.0024185077554442,0.9761461976142708,-1.9687657369331857,-2.326353864062981,17278.605659131797,18054.074680599304,2597.00105763942,prism_z_random_forest,12059.25950624303,False,True,False,Case2-like: oracle gain is large but X-to-ACP recoverability is weak.
parkinsons_telemonitoring,Case2,55.12328769014473,-0.8929831474658505,1.366629776667579,6.579180632591599,12.138051647615862,200.72559612575787,175.65808129344313,40.95289038716978,cnn_mlp,144.72704524553194,False,True,False,Case2-like: oracle gain is large but X-to-ACP recoverability is weak.
real_estate_valuation,Case2,35.60771056732076,0.0537203281894997,0.962670518885729,-2.304917045410549,-1.6045790831886966,171.68468128577803,179.89034130521358,72.59912858653279,lightgbm,163.10633929790467,False,True,False,Case2-like: oracle gain is large but X-to-ACP recoverability is weak.
student_performance,Case2,45.36219997530323,0.2780979982357103,0.8279519558436075,0.35973379092243774,-0.16396914254661096,11.282788308513034,11.223394003563431,3.3688949592612345,xgboost,9.958146048571136,False,True,False,Case2-like: oracle gain is large but X-to-ACP recoverability is weak.
